time,open,high,low,close,volume
2026-07-11,11.00,12.00,10.00,11.20,1000
2026-07-12,10.50,10.80,8.00,8.40,1100
2026-07-13,8.60,11.00,8.80,10.80,1200
2026-07-14,10.20,11.50,9.50,11.20,1300
2026-07-15,11.00,12.50,10.50,12.20,1400
2026-07-16,12.00,14.00,12.00,13.60,1500
2026-07-17,13.00,13.20,11.00,11.40,1600
2026-07-18,11.20,12.40,9.80,10.20,1700
2026-07-19,10.00,11.50,8.50,8.80,1800
2026-07-20,8.60,10.50,6.50,7.00,1900
2026-07-21,7.20,11.00,7.50,10.60,2000
2026-07-22,10.40,12.00,8.80,11.60,2100
2026-07-23,11.40,13.00,10.00,12.80,2200
2026-07-24,12.60,15.00,12.00,14.60,2300
2026-07-25,14.00,14.00,11.00,11.40,2400
