time,open,high,low,close,volume
2027-01-10,14.00,15.00,12.00,14.20,1000
2027-01-11,15.00,16.00,13.50,15.80,1100
2027-01-12,15.20,14.80,12.00,12.50,1200
2027-01-13,12.80,13.50,10.00,10.60,1300
2027-01-14,10.80,12.00,9.00,9.40,1400
2027-01-15,9.20,10.00,8.00,8.40,1500
2027-01-16,8.60,12.00,9.50,11.60,1600
2027-01-17,11.40,14.00,10.50,13.60,1700
2027-01-18,13.40,15.50,12.00,15.00,1800
2027-01-19,15.20,17.00,14.00,16.60,1900
2027-01-20,16.20,16.00,12.00,12.50,2000
2027-01-21,12.20,13.00,8.00,8.50,2100
2027-01-22,8.20,11.00,6.00,6.50,2200
2027-01-23,6.20,8.50,5.00,5.40,2300
2027-01-24,5.60,11.00,6.50,10.60,2400
2027-01-25,10.40,13.00,8.00,12.60,2500
2027-01-26,12.40,15.00,10.00,14.60,2600
2027-01-27,14.40,18.00,13.00,17.60,2700
2027-01-28,17.20,16.00,11.00,11.50,2800
2027-01-29,11.20,13.00,8.00,8.60,2900
2027-01-30,8.40,11.00,6.50,7.00,3000
2027-01-31,6.80,9.00,5.80,6.20,3100
2027-02-01,6.40,12.00,6.50,11.40,3200
