time,open,high,low,close,volume
2026-08-01,11.00,12.00,10.00,11.20,1000
2026-08-02,10.50,10.80,8.00,8.40,1100
2026-08-03,8.60,11.00,8.80,10.80,1200
2026-08-04,10.20,11.50,9.50,11.20,1300
2026-08-05,11.00,12.50,10.50,12.20,1400
2026-08-06,12.00,14.00,12.00,13.60,1500
2026-08-07,13.00,13.20,11.00,11.40,1600
2026-08-08,11.20,12.40,9.80,10.20,1700
2026-08-09,10.00,11.50,8.50,8.80,1800
2026-08-10,8.60,10.50,6.50,7.00,1900
2026-08-11,7.20,11.00,7.20,10.60,2000
2026-08-12,10.40,12.00,8.80,11.60,2100
2026-08-13,11.40,13.00,10.00,12.80,2200
2026-08-14,12.60,15.00,12.00,14.60,2300
2026-08-15,14.00,14.00,11.00,11.40,2400
2026-08-16,11.20,13.00,9.00,9.40,2500
2026-08-17,9.20,12.00,7.00,7.50,2600
2026-08-18,7.40,9.80,5.80,6.20,2700
2026-08-19,6.40,11.00,6.40,10.60,2800
2026-08-20,10.40,12.60,8.80,11.80,2900
2026-08-21,11.60,13.80,10.80,13.20,3000
2026-08-22,13.00,16.00,13.00,15.60,3100
2026-08-23,15.20,14.80,12.00,12.40,3200
