time,open,high,low,close,volume
2027-02-10,11.00,12.00,10.00,11.20,1000
2027-02-11,10.50,10.80,8.00,8.40,1100
2027-02-12,8.60,11.00,8.80,10.80,1200
2027-02-13,10.20,11.50,9.50,11.20,1300
2027-02-14,11.00,12.50,10.50,12.20,1400
2027-02-15,12.00,14.00,12.00,13.60,1500
2027-02-16,13.00,13.20,11.00,11.40,1600
2027-02-17,11.20,12.40,9.80,10.20,1700
2027-02-18,10.00,11.50,8.50,8.80,1800
2027-02-19,8.60,10.50,6.50,7.00,1900
2027-02-20,7.20,11.00,7.20,10.60,2000
2027-02-21,10.40,12.00,8.80,11.60,2100
2027-02-22,11.40,13.00,10.00,12.80,2200
2027-02-23,12.60,15.00,12.00,14.60,2300
2027-02-24,14.00,14.00,11.00,11.40,2400
2027-02-25,11.20,13.00,9.00,9.40,2500
2027-02-26,9.20,12.00,7.00,7.50,2600
2027-02-27,7.40,9.80,5.80,6.20,2700
2027-02-28,6.40,10.80,6.40,10.20,2800
2027-03-01,10.00,12.40,8.80,11.80,2900
2027-03-02,11.60,13.80,10.80,13.20,3000
2027-03-03,13.00,14.20,12.50,13.80,3100
2027-03-04,13.60,13.80,11.50,12.00,3200
2027-03-05,11.80,12.50,9.00,9.40,3300
2027-03-06,9.20,10.50,6.00,6.40,3400
2027-03-07,6.20,8.50,4.00,4.60,3500
2027-03-08,4.80,9.00,4.80,8.60,3600
2027-03-09,8.40,11.50,7.00,11.00,3700
2027-03-10,10.80,13.00,9.50,12.60,3800
2027-03-11,12.40,13.50,11.00,13.00,3900
2027-03-12,12.80,12.90,10.00,10.50,4000
2027-03-13,10.20,11.00,7.00,7.50,4100
2027-03-14,7.20,8.50,4.50,5.00,4200
2027-03-15,4.80,7.00,3.00,3.50,4300
2027-03-16,3.60,8.00,3.60,7.50,4400
2027-03-17,7.30,10.50,6.50,10.00,4500
2027-03-18,9.80,12.00,9.00,11.50,4600
2027-03-19,11.30,12.50,10.00,12.00,4700
2027-03-20,11.80,11.50,8.00,8.50,4800
2027-03-21,8.20,10.00,6.00,6.50,4900
2027-03-22,6.30,8.00,3.50,4.00,5000
2027-03-23,3.80,6.00,2.50,3.00,5100
2027-03-24,3.20,7.00,3.00,6.50,5200
2027-03-25,6.30,9.50,5.50,9.00,5300
2027-03-26,8.80,12.80,8.50,12.00,5400
2027-03-27,11.80,13.20,11.00,12.60,5500
2027-03-28,12.30,12.00,9.00,9.50,5600
2027-03-29,9.20,10.50,7.00,7.50,5700
2027-03-30,7.20,8.50,5.00,5.50,5800
2027-03-31,5.30,7.00,4.20,4.80,5900
2027-04-01,4.90,9.00,5.20,8.50,6000
2027-04-02,8.30,12.00,7.50,11.50,6100
2027-04-03,11.30,14.50,10.50,14.00,6200
2027-04-04,13.80,16.50,13.00,16.00,6300
2027-04-05,15.50,15.80,12.00,12.50,6400
2027-04-06,12.20,13.00,9.00,9.50,6500
2027-04-07,9.20,12.00,7.00,7.80,6600
2027-04-08,7.50,8.00,4.00,4.50,6700
2027-04-09,4.80,10.00,5.00,9.50,6800
2027-04-10,9.30,12.00,8.00,11.50,6900
2027-04-11,11.30,14.00,10.00,13.50,7000
2027-04-12,13.20,15.00,12.00,14.50,7100
2027-04-13,14.20,14.00,9.00,9.50,7200
2027-04-14,9.20,11.00,6.00,6.50,7300
2027-04-15,6.30,9.00,3.50,4.00,7400
2027-04-16,3.80,7.00,2.00,2.50,7500
2027-04-17,2.80,10.00,3.00,9.50,7600
2027-04-18,9.30,12.00,6.00,11.50,7700
2027-04-19,11.20,11.00,7.00,7.50,7800
2027-04-20,7.30,8.50,4.50,5.00,7900
2027-04-21,4.80,7.00,3.00,3.50,8000
2027-04-22,3.30,8.00,3.50,7.50,8100
2027-04-23,7.30,11.00,6.50,10.50,8200
2027-04-24,10.30,14.00,9.50,13.50,8300
2027-04-25,13.30,17.00,12.50,16.50,8400
2027-04-26,16.20,16.50,13.00,13.50,8500
2027-04-27,13.20,14.00,10.00,10.50,8600
