time,open,high,low,close,volume
2026-11-01,11.00,12.00,10.00,11.20,1000
2026-11-02,10.50,10.80,8.00,8.40,1100
2026-11-03,8.60,11.00,8.80,10.80,1200
2026-11-04,10.20,11.50,9.50,11.20,1300
2026-11-05,11.00,12.50,10.50,12.20,1400
2026-11-06,12.00,14.00,12.00,13.60,1500
2026-11-07,13.00,13.20,11.00,11.40,1600
2026-11-08,11.20,12.40,9.80,10.20,1700
2026-11-09,10.00,11.50,8.50,8.80,1800
2026-11-10,8.60,10.50,6.50,7.00,1900
2026-11-11,7.20,11.00,7.20,10.60,2000
2026-11-12,10.40,12.00,8.80,11.60,2100
2026-11-13,11.40,13.00,10.00,12.80,2200
2026-11-14,12.60,15.00,12.00,14.60,2300
2026-11-15,14.00,14.00,11.00,11.40,2400
2026-11-16,11.20,13.00,9.00,9.40,2500
2026-11-17,9.20,12.00,7.00,7.50,2600
2026-11-18,7.40,9.80,5.80,6.20,2700
2026-11-19,6.40,11.00,6.40,10.60,2800
2026-11-20,10.40,12.60,8.80,11.80,2900
2026-11-21,11.60,13.80,10.80,13.20,3000
2026-11-22,13.00,16.00,13.00,15.60,3100
2026-11-23,15.20,14.80,12.00,12.40,3200
2026-11-24,12.00,13.00,10.00,10.60,3300
2026-11-25,10.40,12.00,8.00,8.40,3400
2026-11-26,8.20,10.00,4.80,5.20,3500
2026-11-27,5.40,12.00,5.50,11.00,3600
2026-11-28,10.80,13.50,8.50,13.00,3700
2026-11-29,12.80,15.00,11.00,14.50,3800
2026-11-30,14.20,17.00,13.50,16.60,3900
2026-12-01,16.00,15.80,12.50,13.00,4000
