time,open,high,low,close,volume
2027-02-10,11.00,12.00,10.00,11.20,1000
2027-02-11,10.50,10.80,8.00,8.40,1100
2027-02-12,8.60,11.00,8.80,10.80,1200
2027-02-13,10.20,11.50,9.50,11.20,1300
2027-02-14,11.00,12.50,10.50,12.20,1400
2027-02-15,12.00,14.00,12.00,13.60,1500
2027-02-16,13.00,13.20,11.00,11.40,1600
2027-02-17,11.20,12.40,9.80,10.20,1700
2027-02-18,10.00,11.50,8.50,8.80,1800
2027-02-19,8.60,10.50,6.50,7.00,1900
2027-02-20,7.20,11.00,7.20,10.60,2000
2027-02-21,10.40,12.00,8.80,11.60,2100
2027-02-22,11.40,13.00,10.00,12.80,2200
2027-02-23,12.60,15.00,12.00,14.60,2300
2027-02-24,14.00,14.00,11.00,11.40,2400
2027-02-25,11.20,13.00,9.00,9.40,2500
2027-02-26,9.20,12.00,7.00,7.50,2600
2027-02-27,7.40,9.80,5.80,6.20,2700
2027-02-28,6.40,10.80,6.40,10.20,2800
2027-03-01,10.00,12.40,8.80,11.80,2900
